,id,structure__formula_full,structure__id,structure__e_above_hull,structure__prototype2__name,structure__prototype2__formula_reduced,vaspcalca__energy_barrier,vaspcalcb__energy_barrier,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths
66,2080,Ca2 F6,mp-1183589,0.14082830970250004,,Ni3Sn,-0.07498892000000978,,1,3
67,262,Ca1 F3,mp-1183590,0.13484183845250008,alpha bismuth trifluoride,BiF3,-0.25607150999999817,,2,3
68,2756,Cu6 F2,mp-1183996,0.4578891224999997,,Ni3Sn,0.06631674999999859,,3,3
69,314,Fe3 F1,mp-1184279,1.3605724743749974,,Cu3Au,-0.5543525399999965,,3,3
70,448,Hg1 F3,mp-1184655,0.15013448345250024,alpha bismuth trifluoride,BiF3,0.2513347300000106,,3,3
71,2645,Li2 F6,mp-1185348,0.13541592315500006,,Ni3Sn,-0.2912053600000206,,2,3
72,562,Lu1 F3,mp-1185487,0.3406598299999999,alpha bismuth trifluoride,BiF3,0.6432441200000198,,3,3
73,390,Mg1 F3,mp-1185862,0.47775934345250004,,TiAl3,-0.18662999000002856,,2,2
74,203,Sr2 F2,mp-1187162,0.31975512333333356,Wurtzite,ZnS,0.3323683699999833,,3,3
75,327,Sr1 F3,mp-1187177,0.08309956375000027,alpha bismuth trifluoride,BiF3,-0.07246531999999206,,2,3
76,319,Tm1 F3,mp-1187558,0.018832925000001666,alpha bismuth trifluoride,BiF3,0.6668222899999989,,3,3
77,427,U1 F3,mp-1187747,0.14290042958333338,alpha bismuth trifluoride,BiF3,0.5064031400000033,,3,3
78,20691,Na4 V2 Ni2 F14,mp-1191842,0.0,Na2MgAlF7,Na2MgAlF7,0.3348803800000013,,0,3
79,34173,K10 In6 F28,mp-1196816,0.0,Chiolite,Na5Al3F14,0.7500582000000122,,0,2
80,7992,Na1 Sc1 N2 F6,mp-1205783,1.0780852466786666,Double perovskite,Ba2MnWO6,0.15124478000001318,,2,3
81,3166,Sn1 N2 F6,mp-1206257,1.1698275822355568,K2PtCl6,K2PtCl6,0.26270458999999846,,2,3
82,723,Rb1 Cr1 F3,mp-1206325,0.0007037903333362294,(Cubic) Perovskite,CaTiO3,0.7303878800000234,,2,3
83,705,Mn1 Ag1 F3,mp-1206344,0.9313611940000204,(Cubic) Perovskite,CaTiO3,-0.245752159999995,,3,3
84,1919,Ni1 N2 F4,mp-1206377,1.5239253670523807,F4K2Ni,K2NiF4,-0.06355974999999603,,2,2
85,1750,Tl2 Ni1 F4,mp-1206532,0.0,F4K2Ni,K2NiF4,0.4088804699999997,0.3477576100000306,2,2
86,103,Sm1 F2,mp-1206711,0.3442157672222246,Fluorite,CaF2,0.24761376999998674,,3,3
87,1785,Tl2 Co1 F4,mp-1206757,0.0999207078571418,F4K2Ni,K2NiF4,0.7299002799999954,,2,2
88,824,Co1 Ag1 F3,mp-1206910,0.2677607230000003,(Cubic) Perovskite,CaTiO3,0.05662463000001594,,3,3
89,6037,K2 Li1 Cu1 F6,mp-1207213,0.0,Double perovskite,Ba2MnWO6,0.40808135000003176,,0,3
90,530,Zn1 N1 F3,mp-1207389,1.0034375960120019,(Cubic) Perovskite,CaTiO3,-0.07178613000002088,,3,3
91,13179,U2 Ag2 F12,mp-1207868,0.0,AgUF6,UAgF6,0.5045932200000038,,0,1
92,33896,V6 Pb10 O24 F2,mp-1207903,0.0,Fluorapatite,Ca5P3O12F,0.7632553899999834,,1,1
93,17077,Sr2 Li2 V2 F12,mp-1208625,0.0,Colquiriite,LiCaAlF6,-0.9567835899999864,,0,2
94,568,Ni1 Ag1 F3,mp-1209766,0.984824687999998,(Cubic) Perovskite,CaTiO3,0.5906421800000032,,3,3
95,9119,Na1 Sm1 Cu2 F8,mp-1209940,0.0,NaGdCu2F8,NaGdCu2F8,0.3689967999999908,,0,3
96,20457,Na4 Mg2 Cr2 F14,mp-1210432,0.0,Na2MgAlF7,Na2MgAlF7,0.5431057800000048,,0,2
97,19672,Na4 Mg2 Ga2 F14,mp-1210433,0.0,Na2MgAlF7,Na2MgAlF7,0.8292666400000002,,0,2
98,20958,Na4 Mg2 Sc2 F14,mp-1210466,0.0,Na2MgAlF7,Na2MgAlF7,0.9412410099999988,,0,2
99,21551,Na4 Co2 Ni2 F14,mp-1210483,0.0,Na2MgAlF7,Na2MgAlF7,0.1905951299999913,,0,3
100,664,Mg1 Ag1 F3,mp-1210575,1.1958725920000042,(Cubic) Perovskite,CaTiO3,-0.02005772999999067,,3,3
101,40791,Na12 Li12 Rh8 F48,mp-1210682,0.0,Garnet,Al2Co3(SiO4)3,0.911385139999993,,0,3
102,34676,Eu10 P6 O24 F2,mp-1212781,0.0,Fluorapatite,Ca5P3O12F,0.8536985499999901,,1,1
103,21137,Cr2 Ni2 Ag4 F14,mp-1213740,0.0,Na2MgAlF7,Na2MgAlF7,0.67687703,,0,1
104,33908,Ca10 S6 O24 F2,mp-1214204,0.31113047836309615,Fluorapatite,Ca5P3O12F,0.638389009999969,,1,1
105,34667,Bi10 P6 O24 F2,mp-1214374,0.26734065976189836,Fluorapatite,Ca5P3O12F,0.6271312500000192,,1,1
